bookie,gamma,se,n,lo,hi,spec
Pinnacle,-0.000375000000000027,0.0020692823355567573,8653,-0.004430793377691271,0.0036807933776912168,V2|B  (Kandidat)
BetVictor,0.0003937499999999737,0.0023609478444142676,5546,-0.00423370777505199,0.005021207775051938,V2|B  (Kandidat)
Betsson,0.00080781249999999,0.002848307181803775,4505,-0.004774869576335409,0.006390494576335389,V2|B  (Kandidat)
NordicBet,0.0011156249999999873,0.002867462955475879,4489,-0.004504602392732735,0.00673585239273271,V2|B  (Kandidat)
Vulkan Bet,0.001499999999999978,0.0019150295263331762,4463,-0.0022534578716130473,0.0052534578716130036,V2|B  (Kandidat)
BetInAsia,0.0016757812499999926,0.0025246641818075528,6369,-0.003272560546342811,0.006624123046342796,V2|B  (Kandidat)
Betsafe,0.0018749999999999843,0.00288401745844947,4488,-0.0037776742185609766,0.007527674218560945,V2|B  (Kandidat)
Betway,0.00219687499999999,0.002463553938487206,8064,-0.002631690719434934,0.0070254407194349135,V2|B  (Kandidat)
Betfred,0.0022281249999999845,0.003122278234348889,4833,-0.003891540339323838,0.008347790339323806,V2|B  (Kandidat)
GGBET,0.0025124999999999887,0.0019978435782624744,11586,-0.001403273413394461,0.0064282734133944384,V2|B  (Kandidat)
1xBet,0.0028749999999999926,0.002080793493866779,13105,-0.0012033552479788945,0.00695335524797888,V2|B  (Kandidat)
Alphabet,0.0029093749999999827,0.0018193944307227025,11320,-0.0006566380842165142,0.00647538808421648,V2|B  (Kandidat)
10x10bet,0.0036054687499999863,0.0018701348402686737,11027,-5.9995536926614034e-05,0.007270933036926587,V2|B  (Kandidat)
VOBET,0.003937499999999982,0.001800003051475558,11390,0.00040949401910788785,0.007465505980892076,V2|B  (Kandidat)
Marathonbet,0.004020312499999991,0.002191949845256954,12081,-0.000275909196703639,0.00831653419670362,V2|B  (Kandidat)
ComeOn,0.004306249999999992,0.002558879466964495,7958,-0.0007091537552504175,0.009321653755250403,V2|B  (Kandidat)
888sport,0.004374999999999995,0.002739578688866338,5451,-0.0009945742301780275,0.009744574230178018,V2|B  (Kandidat)
Lasbet,0.004746874999999982,0.0018390636169047698,11215,0.0011423103108666333,0.00835143968913333,V2|B  (Kandidat)
Curebet,0.00505156249999998,0.002296591705829911,7219,0.0005502427565733537,0.009552882243426606,V2|B  (Kandidat)
Dafabet,0.005242187499999991,0.002924792957562961,3658,-0.0004904066968234129,0.010974781696823394,V2|B  (Kandidat)
Suprabets,0.005962499999999992,0.0018733272770794943,11125,0.0022907785369241833,0.009634221463075802,V2|B  (Kandidat)
Interwetten,0.0059941406249999895,0.0025595061439285453,5614,0.000977508582900041,0.011010772667099938,V2|B  (Kandidat)
Betfair,0.007657031249999991,0.003466592620462674,3523,0.0008625097138931503,0.014451552786106832,V2|B  (Kandidat)
10Bet,0.008757812499999993,0.0030802565719653145,5539,0.0027205096189479765,0.01479511538105201,V2|B  (Kandidat)
