x,beta_1,se,ci_lo,ci_up,hours,rel_pos
0.7906881154976975,0.7483295566789763,0.03608299209571829,0.677608191716925,0.8190509216410276,2.2049131392614294,0.9324309095814578
0.8287961654718772,0.7630497834494163,0.0359385929009413,0.6926114357085245,0.8334881311903082,2.290559625072942,0.9273534756603625
0.8669042154460578,0.7805903103685303,0.03558366233168919,0.710847613760385,0.8503330069766757,2.3795329179142874,0.9216536578689273
0.9050122654202384,0.7992092867518812,0.03505142338612317,0.7305097593082148,0.8679088141955476,2.471962242527249,0.9159538400774921
0.943120315394419,0.8170516792951965,0.03442759745216809,0.7495748282147041,0.8845285303756889,2.5679818431914847,0.9102540222860569
0.9812283653685996,0.832329741542039,0.033823957678019836,0.7660360026785131,0.8986234804055648,2.6677311787008184,0.9022087943052284
1.0193364153427802,0.8435034442125868,0.03334147126947759,0.7781553613328338,0.9088515270923399,2.7713551249130797,0.893728724706888
1.0574444653169608,0.8494433740524551,0.03303485996255535,0.7846962382915224,0.9141905098133878,2.87900418516769,0.8852486551085477
1.0955525152911405,0.8495596712405552,0.0328936559621713,0.7850892902348482,0.9140300522462622,2.9908347088765943,0.878757107620038
1.133660565265321,0.8438832444809478,0.03284931579755492,0.7794997686009575,0.908266720360938,3.107009118606035,0.872734052633574
1.1717686152395017,0.8330895777090938,0.03280473217063848,0.7687934841321599,0.8973856712860276,3.2276961459789475,0.866333100287555
1.2098766652136823,0.818460582238195,0.03267176341005781,0.7544251026430682,0.8824960618333217,3.353071076740648,0.8561029230088553
1.247984715187863,0.8017856974302504,0.03240163663033981,0.7382796565946306,0.8652917382658702,3.483316005343714,0.8458727457301556
1.2860927651620435,0.7852092896470242,0.031999228843962745,0.7224919535798019,0.8479266257142465,3.6186200994218254,0.8370970093977177
1.3242008151362241,0.7710367779379879,0.03151864855659243,0.7092613619256913,0.8328121939502844,3.7591798745366884,0.8297618668649419
1.3623088651104038,0.76151630917283,0.031041982202040238,0.7006751420480978,0.8223574762975622,3.9051994795970835,0.8224267243321662
1.4004169150845844,0.7586157707008043,0.030647272306553813,0.6985482207555671,0.8186833206460415,4.056890993364596,0.8131656140729048
1.438524965058765,0.7638161348575154,0.03037674782080612,0.7042788031612799,0.823353466553751,4.214474732476627,0.8037439650802927
1.4766330150329456,0.7779414045211023,0.030218916086749256,0.7187134173392357,0.8371693917029689,4.378179571434117,0.7937983087957111
1.5147410650071262,0.8010427745199816,0.030113421697400538,0.7420215525418096,0.8600639964981537,4.548243275018694,0.7829653820819031
1.5528491149813068,0.8323502223629708,0.02997630428891776,0.7735977455670785,0.8911026991588632,4.724912843622058,0.772132455368095
1.5909571649554874,0.8702989437879237,0.029733672661525053,0.8120220162432314,0.928575871332616,4.908444871989158,0.7573052167366783
1.6290652149296672,0.9126313501114722,0.02935030000673219,0.8551058191628315,0.970156881060113,5.099105921896197,0.7422822003059607
1.6671732649038478,0.9565683288766426,0.028844199527360576,0.9000347366401286,1.0131019211131564,5.297172909304771,0.7260605052570338
1.7052813148780284,0.9990367794261719,0.028283414235182835,0.943602306165386,1.0544712526869577,5.502933506554365,0.709416307229714
1.743389364852209,1.0369347133589253,0.02776511892985832,0.9825160802299316,1.0913533464879188,5.716686560177461,0.6889636933988467
1.7814974148263896,1.0674110032477917,0.027381660924024612,1.0137439339998158,1.1210780724957676,5.938742524944,0.6652820644107758
1.8196054648005702,1.0881346188665666,0.02718481892424401,1.0348533528488055,1.1414158848843277,6.169423914765654,0.6592349195772866
1.8577135147747508,1.0975281820120575,0.027164434072582573,1.044286869569383,1.150769494454732,6.409065771114784,0.6574947733671676
1.8958215647489305,1.0949429765493333,0.02725304583515983,1.0415279882434008,1.1483579648552658,6.658016149638402,0.6396184279668715
1.933929614723111,1.0807570377064422,0.027353994513787547,1.0271441936261123,1.134369881786772,6.916636625673957,0.6185055248022064
1.9720376646972917,1.0563842784177344,0.027378182896405746,1.0027240259786288,1.11004453085684,7.185302819401032,0.5888509565039871
2.0101457146714723,1.0241902737051551,0.027273651771391724,0.9707348985063403,1.07764564890397,7.464404941391835,0.5632725800453147
2.048253764645653,0.9873186608573625,0.02703892220321449,0.9343233471582817,1.0403139745564434,7.754348359352716,0.5578335208374631
2.0863618146198335,0.9494404043233722,0.026717930402469676,0.8970742229930838,1.0018065856536604,8.055554186879919,0.5380058587345735
2.124469864594014,0.914445633883073,0.026378928569798562,0.8627438839355132,0.9661473838306328,8.368459895084642,0.5094575755813657
2.162577914568194,0.886103708515691,0.026083951716299403,0.8349801025772624,0.9372273144541196,8.693519947975732,0.485822100584117
2.2006859645423744,0.8677209914319265,0.02586017183665855,0.8170359859980587,0.9184059968657943,9.031206462522889,0.46080614401144077
2.238794014516555,0.8618271232807062,0.025686194358152763,0.8114831074388309,0.9121711391225815,9.382009894358946,0.42751449946497566
2.2769020644907356,0.8699191472477084,0.025500626359451013,0.8199388379999716,0.9198994564954451,9.746439750117283,0.3963481430504095
2.3150101144649162,0.8922887077426244,0.025229027480692317,0.8428407225154961,0.9417366929697526,10.12502532743885,0.36740680113377144
2.353118164439097,0.9279509937326791,0.024817043982178405,0.8793104813248629,0.9765915061404953,10.51831648372367,0.32221933010805726
2.3912262144132774,0.9746856345485155,0.024257064617015732,0.9271426615285038,1.0222286075685272,10.926884434743279,0.28072945040274844
2.429334264387457,1.029190082769581,0.023599928016781683,0.9829350738189512,1.075445091720211,11.351322584274083,0.2456569771702408
