pctl,baseline,continuous_k6,diff_k6,continuous_k20,diff_k20,approx_sd_diff
56,1.1122711338007976,0.8851046448519363,-0.22716648894886127,0.9129848940883221,-0.1992862397124755,0.03413836151196031
58,1.1082850258130563,0.8839501855991161,-0.22433484021394023,0.7743856395985864,-0.3338993862144699,0.0343733239966214
60,1.1049335790463837,0.8871623432992523,-0.21777123574713142,0.7195177465927491,-0.38541583245363453,0.02982350766371386
62,1.0926475769748234,0.894559466644389,-0.19808811033043439,0.7462231207806098,-0.3464244561942136,0.03238720820201753
64,1.087073026768317,0.9056677083687098,-0.18140531839960727,0.796454443631805,-0.2906185831365121,0.031678060725392566
66,1.0895355006938237,0.9197367120169667,-0.16979878867685694,0.8269984426150744,-0.2625370580787493,0.03125274256257827
68,1.0893217212036348,0.9357786595549543,-0.15354306164868048,0.8510817201008785,-0.23824000110275634,0.030555212850550493
70,1.0838552140258542,0.9526078583896525,-0.1312473556362017,0.9107622582429474,-0.17309295578290673,0.029865689806588762
72,1.0810588793646032,0.9689336403193916,-0.11212523904521166,1.0165297716796438,-0.06452910768495945,0.029390337870190367
74,1.0798310749852278,0.9834349441610695,-0.09639613082415832,1.1243487989776202,0.0445177239923924,0.029543968233938806
76,1.079698956496032,0.994845121396547,-0.08485383509948496,1.1734919737868226,0.09379301729079059,0.029477459119304557
78,1.0815144284607388,1.0020364584116623,-0.07947797004907642,1.1433409614780596,0.061826533017320884,0.029314160867378983
80,1.0847665254284176,1.0040968193223976,-0.08066970610601998,1.0699490106832636,-0.014817514745153915,0.029602899099233287
82,1.0877974502417556,1.0003923391461624,-0.08740511109559312,1.008495604566513,-0.07930184567524257,0.029829113962616196
84,1.076804608550565,0.9906107993532446,-0.08619380919732034,0.9831167049720921,-0.09368790357847279,0.028468980929280907
86,1.0759493019283943,0.9747813632070164,-0.10116793872137797,0.9732887827177589,-0.10266051921063546,0.028263248068835876
88,1.0796671059283058,0.9532676518249035,-0.12639945410340236,0.9439222089108713,-0.13574489701743453,0.027242912017618727
90,1.0805151875166668,0.9267325949179461,-0.15378259259872062,0.8835428972772162,-0.1969722902394505,0.026414330975109195
92,1.079225053664955,0.8960749689580073,-0.1831500847069477,0.8138755619653121,-0.26534949169964295,0.024192486122033275
94,1.0606048353252693,0.8623389087975178,-0.19826592652775143,0.7680924794479029,-0.29251235587736635,0.020229473717565623
96,1.0568321052794265,0.8265988140800455,-0.23023329119938096,0.7636679535725591,-0.2931641517068674,0.024535212738025336
98,1.0511233073373465,0.7898228449254269,-0.2613004624119196,0.7934557731819755,-0.257667534155371,0.02552758175387915
100,1.03132201138754,0.7712822189192233,-0.26003979246831677,0.8148359648676617,-0.21648604651987835,0.026286614928290663
