pctl,beta_1,se,B,half
40.5959595959596,0.7095028298504477,0.04541613557951053,1xBet,late
41.58585858585859,0.7079970969189163,0.04480957608994773,1xBet,late
42.57575757575757,0.7064914412408282,0.04422783183143008,1xBet,late
43.56565656565656,0.7049858730991307,0.04367188619899691,1xBet,late
44.55555555555556,0.7034804025633483,0.0431427295448636,1xBet,late
45.54545454545455,0.701975039408292,0.04264135332222536,1xBet,late
46.535353535353536,0.7004697930341771,0.04216874350161032,1xBet,late
47.525252525252526,0.6989646723889755,0.04172587331006941,1xBet,late
48.51515151515151,0.6974596858938239,0.041313695371070915,1xBet,late
49.505050505050505,0.6959548413723086,0.04093313335070435,1xBet,late
50.494949494949495,0.6944501459844196,0.04058507324247904,1xBet,late
51.48484848484849,0.6929456061659385,0.040270354447315825,1xBet,late
52.474747474747474,0.691441227573982,0.039989760825927714,1xBet,late
53.46464646464646,0.6899370150393709,0.039744011916352344,1xBet,late
54.45454545454545,0.6884329725264271,0.0395337545187498,1xBet,late
55.44444444444444,0.6869291031007353,0.03935955485175312,1xBet,late
56.43434343434344,0.6854254089053149,0.03922189147901701,1xBet,late
57.42424242424242,0.6839218911455663,0.03912114919092629,1xBet,late
58.414141414141405,0.6824185500832511,0.039057614004940476,1xBet,late
59.4040404040404,0.6809153850396669,0.03903146941949994,1xBet,late
60.39393939393939,0.679412394408069,0.03904279402200748,1xBet,late
61.38383838383839,0.6779095756752791,0.0390915605127328,1xBet,late
62.37373737373737,0.6764069254523077,0.039177636165455214,1xBet,late
63.36363636363637,0.6749044395137108,0.039300784704292366,1xBet,late
64.35353535353535,0.6734021128452794,0.03946066953646274,1xBet,late
65.34343434343434,0.6718999396995647,0.039656858244520476,1xBet,late
66.33333333333333,0.6703979136586299,0.03988882821039048,1xBet,late
67.32323232323232,0.6688960277033258,0.04015597321841668,1xBet,late
68.31313131313131,0.6673942742882997,0.04045761086626225,1xBet,late
69.3030303030303,0.6658926454218653,0.04079299060105839,1xBet,late
70.2929292929293,0.6643911327497907,0.04116130219348155,1xBet,late
71.28282828282828,0.6628897276420052,0.04156168446391404,1xBet,late
72.27272727272727,0.661388421281178,0.041993234081755475,1xBet,late
73.26262626262626,0.6598872047520893,0.042455014270416876,1xBet,late
74.25252525252525,0.6583860691306916,0.04294606326562652,1xBet,late
75.24242424242425,0.6568850055717596,0.043465402392514854,1xBet,late
76.23232323232322,0.655384005394023,0.04401204364671022,1xBet,late
77.22222222222221,0.6538830601617126,0.04458499668565306,1xBet,late
78.2121212121212,0.6523821617614691,0.04518327515790271,1xBet,late
79.2020202020202,0.6508813024736243,0.04580590231984084,1xBet,late
80.1919191919192,0.6493804750369118,0.046451915910403124,1xBet,late
81.18181818181817,0.6478796727057454,0.04712037227487737,1xBet,late
82.17171717171718,0.64637888929927,0.04781034974800185,1xBet,late
83.16161616161615,0.6448781192414883,0.04852095132420471,1xBet,late
84.15151515151514,0.6433773575918521,0.049251306658484234,1xBet,late
85.14141414141415,0.6418766000658118,0.05000057345479764,1xBet,late
86.13131313131312,0.6403758430449125,0.05076793830959857,1xBet,late
87.12121212121212,0.6388750835761347,0.0515526170860867,1xBet,late
88.1111111111111,0.6373743193602744,0.052353854899629855,1xBet,late
89.1010101010101,0.6358735487292585,0.053170925796612145,1xBet,late
90.0909090909091,0.6343727706123811,0.05400313220768334,1xBet,late
91.08080808080807,0.6328719844915422,0.05484980425219926,1xBet,late
92.07070707070707,0.6313711903456343,0.05571029896384359,1xBet,late
93.06060606060605,0.6298703885843016,0.05658399949843273,1xBet,late
94.05050505050505,0.6283695799713404,0.05747031437426733,1xBet,late
95.04040404040404,0.6268687655380555,0.058368676783747714,1xBet,late
96.03030303030302,0.6253679464869019,0.05927854400303246,1xBet,late
