Delta,AvgChange,AvgNumChanges,NumMatches,Proportions,Z-statistic,p-value,Bookies
"[0.09, 0.12]",0.10190457482343354,9.826989619377162,289,0.5605536332179931,2.0704985219709333,0.03840568431150815,10x10bet
"[0.12, 0.15]",0.1330496705473529,10.858156028368795,141,0.5673758865248227,1.6090802789986263,0.10759878885792551,10x10bet
"[0.15, 1]",0.18643194265980242,13.066037735849056,106,0.6320754716981132,2.8064220267847273,0.005009503478726751,10x10bet
"[-1, -0.15]",-0.1945422796879605,14.185393258426966,178,0.3651685393258427,-3.7256493259473475,0.0001948130829450001,1xBet
"[-0.15, -0.12]",-0.13310806679001466,12.7991452991453,234,0.39316239316239315,-3.3387191129788807,0.0008416562286166496,1xBet
"[-0.12, -0.09]",-0.10337561543199303,11.920086393088553,463,0.4427645788336933,-2.4767380611824064,0.013258916945295685,1xBet
"[-0.09, -0.06]",-0.0736853066129727,10.487124463519313,932,0.4248927038626609,-4.635994293308863,3.5522576622426527e-06,1xBet
"[-0.06, -0.03]",-0.043988529959580504,9.200118063754427,1694,0.45041322314049587,-4.100819515759582,4.11689566863771e-05,1xBet
"[-0.03, 0]",-0.01456107979149107,7.611380985426787,2882,0.4618320610687023,-4.1093145668692275,3.968352169225753e-05,1xBet
"[0, 0.03]",0.014539174244153439,7.028070175438597,2850,0.52,2.136751068375803,0.0326182439205116,1xBet
"[0.03, 0.06]",0.04367120709569167,9.18491032776747,1617,0.5708101422387136,5.751029285882484,8.870174594832747e-09,1xBet
"[0.06, 0.09]",0.07307471721080436,10.090058479532164,855,0.5777777777777777,4.601861091566416,4.187324430748873e-06,1xBet
"[0.09, 0.12]",0.10246239556569316,12.01923076923077,416,0.6298076923076923,5.476546784902068,4.337061443315804e-08,1xBet
"[0.12, 0.15]",0.13465034794174827,12.341584158415841,202,0.6435643564356436,4.249698330168378,2.1405860559653433e-05,1xBet
"[0.15, 1]",0.19402363943949175,13.895833333333334,192,0.6302083333333334,3.7276474625026714,0.00019327547647507437,1xBet
"[-1, -0.15]",-0.22847439264136,8.40625,32,0.28125,-2.7089046220211834,0.006750574280420141,888sport
"[-0.15, -0.12]",-0.1307981859294923,6.898550724637682,69,0.463768115942029,-0.5991266165867632,0.5490884536448115,888sport
"[-0.12, -0.09]",-0.10372493423991497,6.197368421052632,152,0.42105263157894735,-1.9648906978622132,0.04942688959795749,888sport
"[-0.09, -0.06]",-0.07313742186300097,5.666666666666667,360,0.4305555555555556,-2.657323653751416,0.007876378575624177,888sport
"[-0.06, -0.03]",-0.04363166408074951,5.2081005586592175,716,0.5083798882681564,0.44821072850039567,0.6540011206649559,888sport
"[-0.03, 0]",-0.016899228745356175,4.256689791873142,1009,0.49355797819623387,-0.4090896587576622,0.6824738650398796,888sport
"[0, 0.03]",0.01720578540589364,4.213536701620591,1049,0.5319351763584366,2.071894334395741,0.03827529645757455,888sport
"[0.03, 0.06]",0.04381196345158931,4.984354628422425,767,0.5580182529335072,3.2333495832026156,0.0012234774624855227,888sport
"[0.06, 0.09]",0.07257883862498969,5.734375,384,0.5651041666666666,2.5701075248113363,0.010166695382153756,888sport
"[0.09, 0.12]",0.1024951880718344,6.515723270440252,159,0.5723270440251572,1.8376010541275203,0.06612121337595833,888sport
"[0.12, 0.15]",0.13388090598624455,7.084745762711864,59,0.6440677966101694,2.2915612871647304,0.021930971532210908,888sport
"[0.15, 1]",0.21065860821187787,8.166666666666666,36,0.75,3.415650255319866,0.0006362991412403041,888sport
"[-1, -0.15]",-0.1857083352649027,12.824742268041238,97,0.31958762886597936,-3.7907125275171767,0.0001502157351633837,Alphabet
"[-0.15, -0.12]",-0.1317625632127828,11.661654135338345,133,0.42105263157894735,-1.8371173070873843,0.06619257972219339,Alphabet
"[-0.12, -0.09]",-0.10241049003066822,11.028301886792454,318,0.46226415094339623,-1.3475787519325988,0.1777939084622493,Alphabet
"[-0.09, -0.06]",-0.07287664359706361,9.558441558441558,693,0.4603174603174603,-2.0943757390469173,0.036226522209724665,Alphabet
"[-0.06, -0.03]",-0.04361576882868997,8.518465909090908,1408,0.4609375,-2.9394528739599473,0.0032879226670221584,Alphabet
"[-0.03, 0]",-0.01444915287246193,6.984597612629957,2597,0.49865229110512127,-0.13733461428260457,0.8907663113963564,Alphabet
"[0, 0.03]",0.014286699046680184,6.875278396436526,2694,0.5267260579064588,2.777821807331132,0.00547246202503282,Alphabet
"[0.03, 0.06]",0.04339125199482739,8.472371967654986,1484,0.5606469002695418,4.705736705348705,2.529508143833681e-06,Alphabet
"[0.06, 0.09]",0.07234384163517706,9.777286135693215,678,0.5589970501474927,3.09171267567164,0.0019900536966552806,Alphabet
"[0.09, 0.12]",0.10199017426654851,10.647840531561462,301,0.584717607973422,2.977758461417827,0.0029036471090051474,Alphabet
"[0.12, 0.15]",0.13303179788130876,11.184397163120567,141,0.5531914893617021,1.2659242088545837,0.2055402182226187,Alphabet
"[0.15, 1]",0.18894979805498882,13.74757281553398,103,0.6310679611650486,2.743376270277902,0.006081096034736833,Alphabet
"[-1, -0.15]",-0.22038542916389822,14.0,33,0.3333333333333333,-2.0000000000000004,0.04550026389635842,BetInAsia
"[-0.15, -0.12]",-0.13312473497170066,11.306122448979592,49,0.3877551020408163,-1.5960477502420258,0.11047813282523133,BetInAsia
"[-0.12, -0.09]",-0.10281310226027526,11.155555555555555,135,0.5555555555555556,1.294217910554479,0.19559016189556733,BetInAsia
"[-0.09, -0.06]",-0.0730884837403533,10.197560975609756,410,0.48048780487804876,-0.7898210900006802,0.42963226050294123,BetInAsia
"[-0.06, -0.03]",-0.043345362858458636,8.925387596899224,1032,0.5048449612403101,0.3111501575760321,0.7556864720111911,BetInAsia
"[-0.03, 0]",-0.01506181514043086,7.645317220543807,1655,0.48580060422960725,-1.155427794290932,0.2479152854382809,BetInAsia
"[0, 0.03]",0.01499518481423938,8.001342281879195,1490,0.5322147651006711,2.4913549299411444,0.012725692350383566,BetInAsia
"[0.03, 0.06]",0.04287891629354875,9.458937198067632,828,0.5048309178743962,0.2778642517855673,0.7811165665879283,BetInAsia
"[0.06, 0.09]",0.07134773838933169,10.787610619469026,339,0.5191740412979351,0.705539886153652,0.48047431916982397,BetInAsia
"[0.09, 0.12]",0.1024936714224271,11.336538461538462,104,0.5384615384615384,0.783003983447873,0.4336247728444511,BetInAsia
"[0.12, 0.15]",0.13013142827146823,12.192307692307692,26,0.46153846153846156,-0.3857583749052295,0.699675625634705,BetInAsia
"[0.15, 1]",0.2131589094527292,14.695652173913043,23,0.5652173913043478,0.6170650134055813,0.5371918443468526,BetInAsia
"[-1, -0.15]",-0.16297258651667207,12.857142857142858,7,0.2857142857142857,-1.161895003862225,0.2452781168067728,BetVictor
"[-0.15, -0.12]",-0.1322471998265668,14.0,30,0.5333333333333333,0.35981145856446217,0.7189881336329118,BetVictor
"[-0.12, -0.09]",-0.10316934277370511,10.578125,128,0.3515625,-3.503564832109984,0.0004590748908772646,BetVictor
"[-0.09, -0.06]",-0.07263563131031779,8.408560311284047,257,0.490272373540856,-0.3113429749962036,0.7555399002471979,BetVictor
"[-0.06, -0.03]",-0.042730463845273306,7.348167539267016,764,0.4790575916230366,-1.1579776385275653,0.24687316197258058,BetVictor
"[-0.03, 0]",-0.017340872224643644,5.922506183017313,1213,0.4542456718878813,-3.1991860610250633,0.0013781619386483701,BetVictor
"[0, 0.03]",0.017565295954873147,6.143939393939394,1188,0.5395622895622896,2.7346423769224923,0.006244808200624119,BetVictor
"[0.03, 0.06]",0.04284526528813275,7.356,750,0.5386666666666666,2.1228053563916682,0.03377016581461145,BetVictor
"[0.06, 0.09]",0.07258509014782204,9.07395498392283,311,0.572347266881029,2.5747053971405585,0.010032549881929587,BetVictor
"[0.09, 0.12]",0.10235461224126906,10.68131868131868,91,0.5714285714285714,1.3693063937629144,0.1709035202307978,BetVictor
"[0.12, 0.15]",0.13487181468586187,10.944444444444445,36,0.6111111111111112,1.3483997249264847,0.17752985241215335,BetVictor
"[0.15, 1]",0.17401249752214826,10.285714285714286,14,0.5,0.0,1.0,BetVictor
"[-1, -0.15]",-0.18756487500944083,8.523809523809524,21,0.3333333333333333,-1.5811388300841898,0.11384629800665813,Betfair
"[-0.15, -0.12]",-0.13056704445035303,7.0,31,0.4838709677419355,-0.1767766952966367,0.8596837951986664,Betfair
"[-0.12, -0.09]",-0.10165594021592037,5.6880733944954125,109,0.42201834862385323,-1.6408981028238563,0.10081856891952068,Betfair
"[-0.09, -0.06]",-0.07447936310708499,5.424731182795699,186,0.510752688172043,0.2925724045674869,0.7698490091796573,Betfair
"[-0.06, -0.03]",-0.043206522855379896,4.654320987654321,486,0.5102880658436214,0.45323825070292156,0.6503771917089023,Betfair
"[-0.03, 0]",-0.017639594325605728,3.913352272727273,704,0.5028409090909091,0.15065099520659936,0.8802510320646673,Betfair
"[0, 0.03]",0.017786373871849823,4.014970059880239,668,0.5269461077844312,1.3938644734373242,0.16335853421408997,Betfair
"[0.03, 0.06]",0.04438491002906364,4.786641929499073,539,0.5027829313543599,0.1291012224050573,0.8972775547650884,Betfair
"[0.06, 0.09]",0.07356038350573012,5.315068493150685,219,0.5570776255707762,1.696572711584172,0.08977747256872082,Betfair
"[0.09, 0.12]",0.10216692581005896,6.341463414634147,82,0.5,0.0,1.0,Betfair
"[0.12, 0.15]",0.13064541740707974,7.264705882352941,34,0.5588235294117647,0.6805570473787208,0.496151813220973,Betfair
"[0.15, 1]",0.1985808456562328,11.785714285714286,14,0.7142857142857143,1.710263137648707,0.08721722503647955,Betfair
"[-1, -0.15]",-0.23261726479199502,13.80952380952381,42,0.30952380952380953,-2.638221408750886,0.008334214780233662,Betfred
"[-0.15, -0.12]",-0.1339264612297533,12.35483870967742,62,0.4838709677419355,-0.2520747243709027,0.8009833062834806,Betfred
"[-0.12, -0.09]",-0.10402712236480094,11.711764705882352,170,0.4176470588235294,-2.170824009792357,0.02994447827755997,Betfred
"[-0.09, -0.06]",-0.07353103538778748,10.135977337110482,353,0.40793201133144474,-3.514797457833189,0.0004400894995253424,Betfred
"[-0.06, -0.03]",-0.044475399780182445,8.905797101449275,690,0.4681159420289855,-1.6772507644331478,0.09349345598921022,Betfred
"[-0.03, 0]",-0.019733022428765505,8.400597907324364,669,0.47832585949177875,-1.1214206030987857,0.26210887025055696,Betfred
"[0, 0.03]",0.01931464842888508,8.575757575757576,759,0.5678524374176548,3.77108459568141,0.00016253955560174838,Betfred
"[0.03, 0.06]",0.04441481869516153,9.228335625859698,727,0.5295735900962861,1.5964795229403737,0.11038177398429805,Betfred
"[0.06, 0.09]",0.07368329900946302,10.547058823529412,340,0.5882352941176471,3.3009738822699846,0.0009634985122521922,Betfred
"[0.09, 0.12]",0.10336890856403688,12.005813953488373,172,0.5581395348837209,1.5309310892394858,0.1257864246389402,Betfred
"[0.12, 0.15]",0.1327825671618787,11.355555555555556,45,0.6888888888888889,2.706452436793732,0.006800632341833479,Betfred
"[0.15, 1]",0.21151660833119404,14.537037037037036,54,0.7222222222222222,3.611945991588724,0.0003039078690436625,Betfred
"[-1, -0.15]",-0.1768746662500562,15.529411764705882,17,0.29411764705882354,-1.8073922282301278,0.07070114486598289,Betsafe
"[-0.15, -0.12]",-0.13068634542381044,11.5,38,0.39473684210526316,-1.3099397043320378,0.1902162340299287,Betsafe
"[-0.12, -0.09]",-0.10306131060343958,11.007692307692308,130,0.4230769230769231,-1.7684096604782296,0.0769924427295976,Betsafe
"[-0.09, -0.06]",-0.07210157364197443,9.487972508591065,291,0.44673539518900346,-1.8245093064352915,0.06807511068322136,Betsafe
"[-0.06, -0.03]",-0.04337816146266264,8.133942161339421,657,0.4977168949771689,-0.11695326012648033,0.9068970922260438,Betsafe
"[-0.03, 0]",-0.017277992529027262,7.3701594533029615,878,0.5056947608200456,0.33731328896041013,0.7358807429932601,Betsafe
"[0, 0.03]",0.017357775339714915,7.381578947368421,912,0.5230263157894737,1.391472620254145,0.1640821566547377,Betsafe
"[0.03, 0.06]",0.04306674530588646,8.006134969325153,652,0.5168711656441718,0.8614160356923788,0.3890089473062621,Betsafe
"[0.06, 0.09]",0.07159833630547206,9.12251655629139,302,0.5960264900662252,3.395197776523809,0.000685790413502696,Betsafe
"[0.09, 0.12]",0.10259119465725015,10.827338129496402,139,0.6402877697841727,3.4339514370343256,0.0005948507583910523,Betsafe
"[0.12, 0.15]",0.13065289361266563,10.162162162162161,37,0.7027027027027027,2.6609057819508726,0.007793076062047488,Betsafe
"[0.15, 1]",0.18722024754487257,8.8,25,0.64,1.4288690166235207,0.15304188415881992,Betsafe
"[-1, -0.15]",-0.17863665272667087,15.052631578947368,19,0.2631578947368421,-2.281916487766995,0.022494271222449624,Betsson
"[-0.15, -0.12]",-0.13121553338349143,11.885714285714286,35,0.37142857142857144,-1.5515613611271248,0.12076721448716787,Betsson
"[-0.12, -0.09]",-0.1034135740977702,10.919117647058824,136,0.45588235294117646,-1.0292157653005307,0.3033782956204041,Betsson
"[-0.09, -0.06]",-0.07269485354593694,9.593103448275862,290,0.4241379310344828,-2.609521088547088,0.009066905733460029,Betsson
"[-0.06, -0.03]",-0.04342045445902265,8.059090909090909,660,0.5151515151515151,0.7782663614802864,0.43641200198017405,Betsson
"[-0.03, 0]",-0.017331750281364293,7.358533791523482,873,0.5074455899198167,0.43978003368768503,0.6600964299791041,Betsson
"[0, 0.03]",0.017436325225278316,7.247513812154696,905,0.5160220994475138,0.963954914746886,0.33506853011418314,Betsson
"[0.03, 0.06]",0.043087272579644315,8.165390505359877,653,0.5160796324655437,0.8215889795628164,0.41131086353375057,Betsson
"[0.06, 0.09]",0.07188388423323007,8.79863481228669,293,0.6040955631399317,3.6372708098363087,0.000275542185354416,Betsson
"[0.09, 0.12]",0.10242544880837831,10.727941176470589,136,0.6397058823529411,3.3811373940451266,0.000721864383198767,Betsson
"[0.12, 0.15]",0.13069049147712278,10.5,44,0.6818181818181818,2.5597618936887367,0.010474390092599206,Betsson
"[0.15, 1]",0.18354003173395123,9.678571428571429,28,0.6785714285714286,1.9867985355975661,0.04694472697848173,Betsson
"[-1, -0.15]",-0.1905240884753911,11.704918032786885,61,0.2786885245901639,-3.8234779922498907,0.0001315823414118622,Betway
"[-0.15, -0.12]",-0.13193662340207085,11.173076923076923,104,0.3942307692307692,-2.1965904667616614,0.028049707691441883,Betway
"[-0.12, -0.09]",-0.10311726116751622,11.242990654205608,214,0.45794392523364486,-1.2319420483185077,0.2179707327451721,Betway
"[-0.09, -0.06]",-0.073938876812706,10.030364372469636,494,0.45546558704453444,-1.985540460707607,0.047084373190936724,Betway
"[-0.06, -0.03]",-0.04292679266053998,8.893542757417103,1146,0.46335078534031415,-2.4869509243441965,0.012884317119054911,Betway
"[-0.03, 0]",-0.018450507056855286,7.51279000594884,1681,0.5020820939916716,0.1706823968442584,0.864473504989441,Betway
"[0, 0.03]",0.01886049937108867,8.97924673328209,1301,0.5626441199077633,4.553209267860832,5.283366961927882e-06,Betway
"[0.03, 0.06]",0.04343037877423763,10.243564356435643,1010,0.5316831683168317,2.016869731227598,0.04370910958150054,Betway
"[0.06, 0.09]",0.07315846731219112,11.28305785123967,484,0.5578512396694215,2.5600168742953744,0.01046670809726069,Betway
"[0.09, 0.12]",0.10325809637481323,12.210526315789474,171,0.5964912280701754,2.5643882226608623,0.010335786464719332,Betway
"[0.12, 0.15]",0.13220146377155242,12.828947368421053,76,0.6447368421052632,2.619047619047619,0.008817563785773919,Betway
"[0.15, 1]",0.20827510164160623,14.11111111111111,45,0.6444444444444445,2.00161572666718,0.0453260762746055,Betway
"[-1, -0.15]",-0.18518232135690843,12.090909090909092,66,0.45454545454545453,-0.7359800721939875,0.46174282539108624,ComeOn
"[-0.15, -0.12]",-0.13075659874461168,10.586538461538462,104,0.375,-2.6204325342711394,0.008781830440734328,ComeOn
"[-0.12, -0.09]",-0.10242973673300194,9.483050847457626,236,0.4322033898305085,-2.09798041047836,0.03590687589201069,ComeOn
"[-0.09, -0.06]",-0.0723851610945418,8.408502772643253,541,0.4713493530499076,-1.333753190442376,0.18228475640589936,ComeOn
"[-0.06, -0.03]",-0.04333615487530935,7.845950704225352,1136,0.5044014084507042,0.2965762890362663,0.7667900154310998,ComeOn
"[-0.03, 0]",-0.015648862811725856,6.8599791013584115,1914,0.5094043887147336,0.8228011426367923,0.4106210867969795,ComeOn
"[0, 0.03]",0.015586611721107877,7.105625,1600,0.510625,0.8499262525631411,0.3953660888761412,ComeOn
"[0.03, 0.06]",0.04341878624273836,7.982180293501048,954,0.49580712788259956,-0.25888288102946105,0.7957256069880254,ComeOn
"[0.06, 0.09]",0.0725892052441094,8.719912472647703,457,0.562363238512035,2.684390677117059,0.007266214266408166,ComeOn
"[0.09, 0.12]",0.10201712899171606,9.4,200,0.575,2.1402249087062186,0.03233659509653686,ComeOn
"[0.12, 0.15]",0.13345476529120465,9.808510638297872,94,0.5212765957446809,0.4107401648161496,0.6812630722074247,ComeOn
"[0.15, 1]",0.19195952925953302,11.876712328767123,73,0.6438356164383562,2.548707191297615,0.010812303914636834,ComeOn
