bookie,start_idx,start_value,gamma,std_gamma,J_stat,p_value
GGBET,2,0.7319939418114051,0.0029361964023342643,0.01040818094693733,11.073036806970467,0.6046990494731197
GGBET,3,0.5986584841970366,0.002922406345585875,0.01040818195348001,11.073026257807845,0.6046999331454669
GGBET,4,0.15601864044243652,0.0029283967473666926,0.010408181516184403,11.0730303490032,0.6046995904380525
GGBET,5,0.15599452033620265,0.0029279440242790163,0.010408181549169181,11.073030013427148,0.6046996185482728
GGBET,6,0.05808361216819946,0.0029189284005620287,0.010408182207416202,11.07302422937168,0.6047001030616057
GGBET,7,0.8661761457749352,0.0029172118972087616,0.010408182332717628,11.073023322268945,0.6047001790469378
GGBET,8,0.6011150117432088,0.0029343981103042063,0.01040818107814117,11.073035204646768,0.6046991836950641
GGBET,9,0.7080725777960455,0.0029206265141276068,0.010408182083324452,11.073025187902601,0.6047000227682862
Interwetten,0,0.01,0.04522851562500006,0.015621681401780885,25.235168313111775,0.02149445377519607
Interwetten,1,0.9507143064099162,0.045188378255062764,0.015621634430870775,25.23517177371443,0.021494431153557755
Interwetten,2,0.7319939418114051,0.04522175830031587,0.015621673521587645,25.23516788971387,0.021494456542910274
Interwetten,3,0.5986584841970366,0.045233354731865225,0.015621687038277628,25.234757502653792,0.021497139361919188
Interwetten,4,0.15601864044243652,0.045230550437834485,0.015621683772508825,25.234757304607065,0.021497140656683015
Interwetten,5,0.15599452033620265,0.045234221591532536,0.015621688047283207,25.235168987335456,0.0214944493678567
Interwetten,6,0.05808361216819946,0.0452316203361289,0.015621685018639631,25.23516864401373,0.021494451612119735
Interwetten,7,0.8661761457749352,0.045218106086640085,0.015621669257727018,25.235167830271003,0.02149445693148309
Interwetten,8,0.6011150117432088,0.045221210188238395,0.015621672881769171,25.23516787320997,0.021494456650794865
Interwetten,9,0.7080725777960455,0.04519667369745681,0.015621644171045166,25.23516987942698,0.021494443536336196
Lasbet,0,0.01,0.04139121093750005,0.010033994512808626,10.851530850636665,0.6232538544397835
Lasbet,1,0.9507143064099162,0.041359031705639066,0.010033944525763198,10.851553457910507,0.623251961423419
Lasbet,2,0.7319939418114051,0.04138777025609308,0.010033989177117997,10.851530594723194,0.6232538758686542
Lasbet,3,0.5986584841970366,0.041345034260928476,0.010033922722383739,10.851580789455314,0.6232496728206102
Lasbet,4,0.15601864044243652,0.041425691552630574,0.010034047862610218,10.87251398029049,0.6214967155643008
Lasbet,5,0.15599452033620265,0.041402149170578204,0.01003401146051565,10.851535910212483,0.6232534307770582
Lasbet,6,0.05808361216819946,0.041388827840655174,0.010033990817407388,10.851530605315755,0.6232538749816879
Lasbet,7,0.8661761457749352,0.04137122454078375,0.010033963488595083,10.851538300443822,0.6232532306314367
Lasbet,8,0.6011150117432088,0.04135949384540208,0.010033945244981734,10.85155273661739,0.6232520218207847
Lasbet,9,0.7080725777960455,0.04140629860983487,0.010034017883992219,10.851539518684255,0.6232531286222757
Marathonbet,0,0.01,0.04240136718750005,0.01198865273187259,13.596375686922658,0.40287022429384967
Marathonbet,1,0.9507143064099162,0.04240090642314344,0.011988652040761825,13.596375956967623,0.40287020448161165
Marathonbet,2,0.7319939418114051,0.0424242851151034,0.011988687177470368,13.602344886819838,0.40243241018302195
Marathonbet,3,0.5986584841970366,0.042431071052709865,0.011988697400568864,13.599369061750435,0.4026506424204802
Marathonbet,4,0.15601864044243652,0.04242194827645192,0.011988683659499467,13.602343335300937,0.40243252394753604
Marathonbet,5,0.15599452033620265,0.04241538994536944,0.011988673793262069,13.60233912795952,0.40243283244927613
Marathonbet,6,0.05808361216819946,0.042408552584555385,0.011988663518150934,13.59936733432069,0.40265076911963277
Marathonbet,7,0.8661761457749352,0.04242301741310968,0.011988685268780424,13.599368147150248,0.4026507095022611
