hours,lambda,se_cluster,pw_lo,pw_up
1.1937583211152918,1.1117276812328043,0.02218435836749566,1.0682463388325127,1.1552090236330959
1.1145072446733535,1.1119757269827637,0.022265559433721396,1.0683352304926697,1.1556162234728578
1.040517478670984,1.1122056880863984,0.022333818582646443,1.0684314036644114,1.1559799725083855
0.9714397358961434,1.1124178601378854,0.022388539642465923,1.0685363224386522,1.1562993978371185
0.90694791757205,1.1126125387314012,0.022429358080196825,1.0686509968942155,1.156574080568587
0.8467375739262712,1.112790019461123,0.022456123405984914,1.0687760175853926,1.1568040213368536
0.790524466959362,1.1129505979212277,0.0224688839524389,1.0689115853744475,1.156989610468008
0.7380432286282336,1.1130945697058918,0.022467873852479094,1.0690575369550328,1.1571316024567508
0.6890461081098816,1.1132222304092925,0.022453502015071694,1.0692133664597518,1.157231094358833
0.6433018022316049,1.1133338756256062,0.022426342883845186,1.0693782435732695,1.1572895076779428
0.6005943635464759,1.11342980094901,0.022387128754287357,1.0695510285906067,1.1573085733074133
0.5607221808993633,1.113510301973681,0.022336743417563275,1.069730284875257,1.157290319072105
0.5234970276710037,1.1135756742937954,0.022276216890512984,1.06991428918839,1.157237059399201
0.4887431732071276,1.1136262135035309,0.02220672098041149,1.0701010403819244,1.1571513866251373
0.4562965532379144,1.1136622151970634,0.022129565418610917,1.070288266976586,1.1570361634175408
0.4260039953715399,1.1136839749685705,0.022046194278890166,1.0704734341819457,1.1568945157551953
0.397722496005555,1.1136917884122288,0.021958182374527374,1.070653750958155,1.1567298258663026
0.3713185452425845,1.113685951122215,0.021867231303849415,1.07082617776667,1.15654572447776
0.3466674966234331,1.113666758692706,0.021775164789216202,1.0709874357058422,1.1563460816795699
0.3236529787022752,1.1136345067178788,0.021683922931960583,1.071134017771236,1.1561349956645215
0.3021663456861121,1.1135894907919102,0.021595554989694347,1.0712622030121093,1.155916778571711
0.2821061645451103,1.1135320065089767,0.021512210277657536,1.0713680743647678,1.1556959386531855
0.2633777361725909,1.1134623494632556,0.021436126808440505,1.0714475409187123,1.155477158007799
0.2458926483341934,1.1133808152489235,0.021369617321043363,1.0714963652996785,1.1552652651981685
0.2295683582957898,1.1132876994601575,0.021315052417404383,1.0715101967220448,1.1550652021982701
0.2143278031598454,1.1131832976911342,0.021274840627724872,1.0714846100607935,1.154881985321475
0.200099036070721,1.1130679055360304,0.021251405368290587,1.071415151014181,1.1547206600578799
0.1868148865715298,1.112941818589023,0.021247158936319552,1.0712973870738367,1.1545862501042092
0.1744126435091819,1.112805332444289,0.021264473899599776,1.0711269636010734,1.1544837012875047
0.1628337589906866,1.112658742696005,0.021305652471868358,1.070899663851143,1.1544178215408671
0.1520235719931688,1.1125023449383482,0.021372894698979093,1.0706114713283492,1.1543932185483472
0.1419310503228268,1.1123364347654952,0.021468266491343146,1.0702586324424626,1.1544142370885278
0.1325085497046866,1.1121613077716228,0.021593668697422658,1.0698377171246745,1.1544848984185712
0.1237115888658751,1.1119772595509079,0.021750808494810783,1.0693456749010788,1.154608844200737
0.1154986395506374,1.1117845856975273,0.021941174359175634,1.068779883953543,1.1547892874415115
0.1078309304758091,1.1115835818056579,0.022166015747223062,1.0681381909411007,1.155028972670215
0.1006722643012691,1.1113745434694766,0.022426328401914775,1.0674189398017238,1.1553301471372295
0.0939888467513341,1.1111577662831602,0.02272284587532258,1.066620988367528,1.1556945441987925
0.0877491270804207,1.1109335458408856,0.02305603749823218,1.0657437123443505,1.1561233793374206
0.0819236491298531,1.1107021777368293,0.02342611264527389,1.0647869969520924,1.1566173585215662
0.0764849122726919,1.1104639575651687,0.02383303079056823,1.063751217215655,1.1571766979146825
0.0714072415901412,1.11021918092008,0.02427651655684216,1.0626372084686695,1.1578011533714907
0.0666666666666666,1.109968143395741,0.024756078755231593,1.061446229035487,1.158490057755995
