pctl,beta_1_mixedlm,beta_1_ols,gate_diff,se_model,se_iid,se_cluster,factor_vs_model,factor_vs_iid,t_model,t_cluster,sig_model,sig_cluster
36,1.2025179243843471,1.2077662015969606,0.00524827721261345,0.0294670138004225,0.02334999040897001,0.06152897095529135,2.0880626510722013,2.635074784941012,6.872699275060014,3.3767215406207467,True,True
38,1.1876737408018152,1.1932283664510794,0.005554625649264233,0.027872984198004,0.022764807814645096,0.059861260606062366,2.147644478281198,2.6295526451821094,6.733177167848954,3.2279368074569166,True,True
40,1.175524938339045,1.1812092236008491,0.005684285261804201,0.0272978044488253,0.022262329140284882,0.0585354074729449,2.1443265733213153,2.6293478595203204,6.430002041669628,3.0957198629667713,True,True
42,1.174736659256134,1.1806199498748398,0.00588329061870585,0.0269097170174505,0.02181243137748786,0.05734941526918451,2.1311786828525316,2.6292078254225983,6.493440980550636,3.1494645416531744,True,True
44,1.1682630658537796,1.1743650915211779,0.006102025667398259,0.0263367901905765,0.021273141582347155,0.05595232151980048,2.1244928146111226,2.6301861106509414,6.388897987803592,3.116315584143784,True,True
46,1.1552386286228835,1.1622468451644319,0.007008216541548373,0.0265701057357132,0.02085527144626594,0.054742721661218324,2.060312525878961,2.6248865569678217,5.842604849487874,2.9638066986971396,True,True
48,1.142002323702597,1.1490684920894718,0.007066168386874905,0.0265435217227718,0.020500385224493812,0.05371972690812843,2.023835701576933,2.6204252417629803,5.349792133301306,2.774930191741462,True,True
50,1.1273477317077716,1.1343606142022105,0.007012882494438877,0.0247813105959772,0.020121580652883463,0.05276940838091283,2.1294034541288145,2.622527985809647,5.1388618537570085,2.546183827423957,True,True
52,1.1282753423422618,1.1353744910551573,0.00709914871289552,0.0244145077920923,0.019885250842553073,0.052147345713996845,2.135916323116988,2.6224132713681994,5.254062192636517,2.595999646801227,True,True
54,1.119040960187915,1.126579931990632,0.007538971802717009,0.0222979417700316,0.01965826542362828,0.05156499837743502,2.312545207501542,2.62306959776097,5.338652392926502,2.4547645878725306,True,True
56,1.1122711338007976,1.1212191343581053,0.008948000557307711,0.0257017085858033,0.01942632358046168,0.05092141340526912,1.981246236423219,2.6212583762624084,4.368236198227386,2.380513938082521,True,True
58,1.1082850258130563,1.1167109649850997,0.008425939172043373,0.0257651566859187,0.019208838002797962,0.05035002091449085,1.9541903636863343,2.6211903555622085,4.20276993200809,2.317992383425406,True,True
60,1.1049335790463837,1.1132613955263513,0.008327816479967609,0.0191776135847669,0.019037846080039996,0.049956098905308506,2.604917378509987,2.624041537854662,5.471670319279672,2.2672185780766747,True,True
62,1.0926475769748234,1.1007535423188388,0.00810596534401542,0.0231955991211695,0.01886806438268869,0.049553046367742576,2.1363124146475663,2.626291990672193,3.9941877116796887,2.0332461817004677,True,True
64,1.087073026768317,1.0953664871806954,0.008293460412378328,0.0227889297902704,0.018713796763576138,0.04910393476712244,2.1547275461828432,2.6239429329860293,3.8208475593045352,1.9421353427780308,True,False
66,1.0895355006938237,1.0974474353699035,0.007911934676079868,0.0230504498553907,0.01857225609436474,0.04878627111559492,2.116499739556515,2.626836011075565,3.884327692324166,1.997435613371846,True,True
68,1.0893217212036348,1.0972212266387156,0.007899505435080778,0.0230447399638944,0.01842136959799316,0.048359011597511374,2.0984837179017157,2.6251583162839127,3.876013413194533,2.0104055775143,True,True
70,1.0838552140258542,1.091635787794498,0.007780573768643828,0.0229545786902496,0.018277949088201163,0.04794448514878018,2.088667615979618,2.6230779458582387,3.653093143524925,1.9112894321450322,True,False
72,1.0810588793646032,1.0886053153728896,0.007546436008286417,0.022872391240682,0.01816527292718062,0.04778681415240211,2.089279325871536,2.63066865793681,3.5439617358602957,1.8541791693898826,True,False
74,1.0798310749852278,1.0872656638082754,0.007434588823047594,0.0232358273816998,0.01807041533462868,0.047669819859492,2.051565415614856,2.638003553141439,3.435688933035437,1.8306270941550258,True,False
