hours,beta_1,se,k
27.97331582678088,1.1453727515333783,0.03402505987550763,10
26.696946361858345,1.1484344678995042,0.03396064238991112,10
25.478815220239152,1.150822124291718,0.033883157325897695,10
24.31626509744023,1.1524645788782324,0.03375389899717692,10
23.206759936753457,1.1532951595444896,0.03354085464120636,10
22.14787939693907,1.1533043156980078,0.03324396269355064,10
21.137313572347903,1.1525219579272619,0.03288959448423339,10
20.17285795395429,1.1509787823000701,0.032511101776474004,10
19.252408620307666,1.1487054848842502,0.03214299727239313,10
18.37395764791181,1.14573276174762,0.03181612077769748,10
17.535588731019857,1.1420913089579983,0.03155357751719005,10
16.735473001289822,1.1378118225832021,0.03136774787221959,10
15.97186503818121,1.1329249986910495,0.031258756687352375,10
15.24309906138981,1.127461533349359,0.031214696829153586,10
14.547585297014367,1.121452122625948,0.03121367250588653,10
13.88380650952831,1.1149274625886343,0.031227491519204058,10
13.250314691990924,1.1079182493052366,0.031226730641399435,10
12.645727907278028,1.100455362801347,0.0311897306470349,10
12.068727273441267,1.0925708512871448,0.031122904036213917,10
11.518054086619744,1.0842972200457621,0.031048358042359125,10
10.992507075227799,1.0756669754207442,0.03099108892589412,10
10.490939779428942,1.0667126237556366,0.030973687546178744,10
10.012258050179499,1.057466671393985,0.031012179002471794,10
9.555417662386091,1.0479616246793348,0.031113161999462225,10
9.119422036970288,1.038229989955231,0.0312724594161082,10
8.703320066871091,1.0283042735652195,0.031475378444254166,10
8.306204042242834,1.0182169818528448,0.031698490216736576,10
7.927207670322383,1.0080006211616537,0.03191268526267748,10
7.565504185646012,0.9976876978351904,0.032087231705489515,10
7.220304546493565,0.987310718581824,0.032194682722647236,10
6.890855713625388,0.9769047709910533,0.03222312772640301,10
6.576439007557312,0.9665137019379589,0.03219438834403807,10
6.276368540789996,0.9561832148121089,0.03214122025551659,10
5.989989721572743,0.9459590130030715,0.03209657050215889,10
5.7166778259376985,0.9358867999004148,0.03208861356885495,10
5.455836634889437,0.9260122788937069,0.032136826907179034,10
5.206897133777031,0.9163811533725164,0.03224934490110189,10
4.9693162710112695,0.9070391267264107,0.03242185081506991,10
4.742575773419303,0.8980319023449581,0.032638121235669504,10
4.526181015652382,0.8894051836177274,0.03287211431580194,10
4.3196599411804035,0.8812046739342859,0.03309131945565259,10
4.1225620325194186,0.873476076684202,0.033261058727538144,10
3.9344573284457165,0.8662648640896221,0.033349684032132954,10
3.754935486052579,0.8595915817515911,0.033346470567663725,10
3.5836048856035885,0.8534299209025007,0.03327501913434414,10
3.420091776229811,0.847748400601928,0.03316867359918604,10
3.2640394606071763,0.8425155399094504,0.033062779689010106,10
3.1151075168355074,0.8376998578846443,0.03299009905940708,10
2.972971055821725,0.8332698735870883,0.03297682962456869,10
2.837320012547243,0.8291941060763586,0.03303942373744141,10
2.707858469673521,0.8254410744120328,0.033182504870217615,10
2.584304012010185,0.8219792976536886,0.03339813450268721,10
2.4663871104375543,0.8187772948609023,0.033666496187433774,10
2.3538505339396325,0.8158035850932517,0.03395783396910741,10
2.2464487884649014,0.8130266874103139,0.034235321336331635,10
2.1439475813908464,0.8104155618037974,0.03445898065135016,10
2.0461233104239414,0.8079509590047995,0.034602325019911145,10
1.9527625758201776,0.8056264167906841,0.034659774352988997,10
1.8636617148620307,0.8034361135434359,0.034634326266630586,10
1.7786263575763646,0.8013742276450411,0.03453486619783171,10
1.6974710027240996,0.7994349374774843,0.03437448725580422,10
1.6200186131366536,0.7976124214227516,0.034169087681491746,10
1.5461002295164263,0.7959008578628282,0.03393614834675141,10
1.475554601858827,0.7942944251796993,0.0336936207863512,10
1.4082278376918318,0.7927873017553508,0.0334588865915461,10
1.3439730663656908,0.7913736659717677,0.03324777983428203,10
1.2826501186604633,0.7900476962109355,0.03307369334771229,10
1.2241252210124645,0.7888035708548399,0.03294681347860192,10
1.1682707036925677,0.7876354682854659,0.03287354162408746,10
1.1149647222997874,0.7865375668847995,0.032856160471939996,10
1.064090991962576,0.7855041425081037,0.03289275245990039,10
1.0155385336680216,0.7845318824850777,0.03297715680461989,10
0.9692014321655565,0.7836199837771527,0.033101633763079175,10
0.9249786049170616,0.7827677604602928,0.03325889760106704,10
0.8827735815893477,0.7819745266104632,0.033442235129871684,10
0.8424942936079693,0.7812395963036286,0.0336455347747353,10
0.8040528733133044,0.7805622836157537,0.03386329583260705,10
0.7673654622807583,0.7799419026228032,0.034090622283353175,10
0.7323520283869599,0.7793777674007422,0.034323205237552994,10
0.6989361912228758,0.7788691920255351,0.03455729759110341,10
0.667045055472996,0.7784154905731467,0.0347896838448806,10
0.6366090518971097,0.778015977119542,0.03501764742889085,10
