hours,beta_1,se_boot,se_sandwich,se_model,pw_lo,pw_up,sim_lo,sim_up,excl_1_pointwise,excl_1_simultaneous
4.110737069705638,0.8788216494443153,0.10606479962399268,0.0867199241149463,0.0289370596341869,0.6709384621538321,1.0867048367347985,0.6012972987682415,1.1563460001203891,False,False
3.837833977026388,0.8693428911887522,0.10667410187746225,0.0873230549660937,0.0290279935806073,0.6602654934257697,1.0784202889517347,0.5902242678335325,1.1484615145439718,False,False
3.583048340348584,0.8602689555405829,0.1072521953428723,0.087921509666955,0.0291155163736542,0.6500585154056987,1.0704793956754672,0.5796377190075063,1.1409001920736594,False,False
3.345177380294599,0.8515947298546719,0.10779279283844745,0.0885066998739517,0.0291987937771358,0.6403247380983278,1.0628647216110159,0.5695489904000938,1.1336404693092499,False,False
3.1230981674520137,0.843315101485884,0.10829046669834906,0.0890712267051743,0.02927718386478,0.6310696868880857,1.0555605160836823,0.5599671711507566,1.1266630318210114,False,False
2.915762321304212,0.8354249577890835,0.10874058042768786,0.0896087940841525,0.0293502261880517,0.6222973364928343,1.048552579085333,0.5508992802568844,1.1199506353212827,False,False
2.7221910610877256,0.8279191861191358,0.10913922493500261,0.0901141242754967,0.0294176315530349,0.614010235945915,1.0418281362923567,0.5423504334250044,1.1134879388132672,False,False
2.5414705852126174,0.820792673830905,0.10948315978372919,0.0905828776604416,0.0294792724560373,0.6062096237411518,1.0353757239206582,0.5343239967895246,1.1072613508722855,False,False
2.3727477574333333,0.8140403082792563,0.10976975964510652,0.0910115780421629,0.0295351741878161,0.5988955327832293,1.0291850837752834,0.5268217270216367,1.101258889536876,False,False
2.2152260794054857,0.8076569768190537,0.10999696595057404,0.0913975441975844,0.0295855065848474,0.5920668851472499,1.0232470684908574,0.519843897833461,1.0954700558046464,False,False
2.068161930616038,0.8016375668051625,0.11016324361561801,0.0917388279722957,0.0296305763813048,0.5857215768984392,1.0175535567118859,0.5133894132124726,1.0898857203978525,False,False
