hours,beta_1,se,model
0.5234970276710037,0.7745554532801604,0.020553516755389918,M_b + Bookmaker-Intercept
0.4887431732071276,0.7742574891369167,0.020650597440870104,M_b + Bookmaker-Intercept
0.45629655323791446,0.7740781294262743,0.020750911940557126,M_b + Bookmaker-Intercept
0.4260039953715399,0.7740149625409728,0.02086096878212168,M_b + Bookmaker-Intercept
0.39772249600555504,0.7740655768737508,0.02098761513021281,M_b + Bookmaker-Intercept
0.3713185452425845,0.7742275608173488,0.021137940476699868,M_b + Bookmaker-Intercept
0.3466674966234331,0.7744985027645058,0.021319159085743847,M_b + Bookmaker-Intercept
0.3236529787022752,0.7748759911079609,0.02153847238642748,M_b + Bookmaker-Intercept
0.30216634568611217,0.775357614240454,0.021802915350962,M_b + Bookmaker-Intercept
0.2821061645451103,0.7759409605547244,0.022119193884105232,M_b + Bookmaker-Intercept
0.2633777361725909,0.7766236184435109,0.022493522855441577,M_b + Bookmaker-Intercept
0.24589264833419341,0.7774031762995538,0.022931476027073898,M_b + Bookmaker-Intercept
0.22956835829578986,0.7782772225155924,0.023437859249312396,M_b + Bookmaker-Intercept
0.21432780315984548,0.7792433454843659,0.024016616674880503,M_b + Bookmaker-Intercept
0.20009903607072102,0.780299133598613,0.024670776539104308,M_b + Bookmaker-Intercept
0.18681488657152986,0.7814421752510745,0.025402438832192394,M_b + Bookmaker-Intercept
0.17441264350918192,0.7826700588344894,0.02621280276729966,M_b + Bookmaker-Intercept
0.1628337589906866,0.7839803727415964,0.027102228156015762,M_b + Bookmaker-Intercept
0.15202357199316888,0.7853707053651351,0.02807032225194497,M_b + Bookmaker-Intercept
0.14193105032282682,0.7868386450978461,0.029116042565532203,M_b + Bookmaker-Intercept
0.13250854970468662,0.7883817803324672,0.030237806480873434,M_b + Bookmaker-Intercept
0.12371158886587513,0.7899976994617387,0.0314335998556835,M_b + Bookmaker-Intercept
0.1154986395506374,0.7916839908784,0.03270107869509223,M_b + Bookmaker-Intercept
0.10783093047580912,0.7934382429751904,0.03403766002794509,M_b + Bookmaker-Intercept
0.10067226430126917,0.7952580441448488,0.03544059996483534,M_b + Bookmaker-Intercept
0.09398884675133412,0.7971409827801158,0.03690705840251,M_b + Bookmaker-Intercept
0.08774912708042071,0.79908464727373,0.03843415090242762,M_b + Bookmaker-Intercept
0.0819236491298531,0.8010866260184306,0.040018988938430713,M_b + Bookmaker-Intercept
0.07648491227269195,0.8031445074069575,0.04165871005086136,M_b + Bookmaker-Intercept
0.07140724159014122,0.8052558798320503,0.04335049954749616,M_b + Bookmaker-Intercept
0.06666666666666667,0.8074183316864478,0.045091605335932,M_b + Bookmaker-Intercept
59.899999999999984,1.054394800057161,0.051906818530058484,M_c + Bookmaker-Slope
55.9233663758364,1.0627451052951016,0.047539207126991626,M_c + Bookmaker-Slope
52.21073300177015,1.0712204840966075,0.04411045386444748,M_c + Bookmaker-Slope
48.74457346258709,1.0798282386132063,0.04149260587598887,M_c + Bookmaker-Slope
45.508524884509704,1.0885461802328054,0.03950846517882457,M_c + Bookmaker-Slope
42.48731069015536,1.0972560931129391,0.03797916340347348,M_c + Bookmaker-Slope
39.66666848162854,1.1058202490459683,0.036759045365739026,M_c + Bookmaker-Slope
37.03328271130145,1.1141009198242526,0.035742112653093586,M_c + Bookmaker-Slope
34.57472182243806,1.1219603772401523,0.03486034378939925,M_c + Bookmaker-Slope
32.27937956291871,1.1292608930860268,0.03407771563217391,M_c + Bookmaker-Slope
30.136420195021532,1.1358647391542365,0.03338218834200192,M_c + Bookmaker-Slope
28.13572734261011,1.1416341872371414,0.03277710559457906,M_c + Bookmaker-Slope
26.26785623424747,1.1464315091271013,0.03227283160454532,M_c + Bookmaker-Slope
24.52398911678833,1.150118976616477,0.0318791914287899,M_c + Bookmaker-Slope
22.895893628967933,1.1525588614976274,0.03159928481392348,M_c + Bookmaker-Slope
21.375883938480012,1.153613435562913,0.0314252805289169,M_c + Bookmaker-Slope
19.956784459081383,1.153144970604694,0.031336678018314405,M_c + Bookmaker-Slope
18.631895976440855,1.1510157384153303,0.03130120682062458,M_c + Bookmaker-Slope
17.394964022820947,1.1470880107871817,0.03127816190555612,M_c + Bookmaker-Slope
16.240149351297315,1.1412280009802669,0.031224087878415786,M_c + Bookmaker-Slope
15.162000370131919,1.1334434548091465,0.031111890613654356,M_c + Bookmaker-Slope
14.155427407169535,1.1239194821232816,0.030942748184992326,M_c + Bookmaker-Slope
13.215678682766251,1.1128524151407233,0.03073171187555671,M_c + Bookmaker-Slope
12.338317877824178,1.1004385860795252,0.030502114664260994,M_c + Bookmaker-Slope
11.519203191036633,1.0868743271577381,0.030281382054644142,M_c + Bookmaker-Slope
10.75446778647823,1.0723559705934145,0.030097230149588473,M_c + Bookmaker-Slope
10.040501539237939,1.0570798486046058,0.029974191806141248,M_c + Bookmaker-Slope
9.373933992920747,1.0412422934093641,0.029930581379019265,M_c + Bookmaker-Slope
8.751618448564514,1.025039637225742,0.029976137393332034,M_c + Bookmaker-Slope
8.17061710985981,1.0086682122717905,0.030110613924944962,M_c + Bookmaker-Slope
7.628187214547043,0.9923243507655617,0.030323500757881757,M_c + Bookmaker-Slope
7.121768086520624,0.9762043849251081,0.0305948724150674,M_c + Bookmaker-Slope
6.6489690475164025,0.9605046469684814,0.03089717896844684,M_c + Bookmaker-Slope
6.207558131316462,0.9454214691137333,0.031197682418332696,M_c + Bookmaker-Slope
5.795451547193873,0.9311511835789161,0.031461252066399235,M_c + Bookmaker-Slope
5.410703842856947,0.917871870070643,0.031655126280088146,M_c + Bookmaker-Slope
5.051498720454676,0.9056071425611167,0.03176604490389536,M_c + Bookmaker-Slope
4.716140462288077,0.8943029083758752,0.031795907353332445,M_c + Bookmaker-Slope
4.403045925750296,0.8839044852002083,0.031753026901908704,M_c + Bookmaker-Slope
4.110737069705638,0.8743571907194043,0.03165024555279821,M_c + Bookmaker-Slope
3.837833977026388,0.8656063426187537,0.031503420896178504,M_c + Bookmaker-Slope
3.5830483403485838,0.8575972585835451,0.03133011569508886,M_c + Bookmaker-Slope
3.345177380294599,0.8502752562990684,0.031148408303703398,M_c + Bookmaker-Slope
3.1230981674520137,0.8435856534506123,0.030975777721805015,M_c + Bookmaker-Slope
2.9157623213042116,0.8374737677234667,0.030828053199172492,M_c + Bookmaker-Slope
2.7221910610877256,0.8318849168029206,0.030718452125171315,M_c + Bookmaker-Slope
2.5414705852126174,0.8267644183742638,0.030656756898120287,M_c + Bookmaker-Slope
